category_id,category_name,video_id,video_title,target,search_query,note,found_url,done,
44,笑いのしくみとユーモア研究,lmnI2SvWfM0,お笑いはＡＩにはムリ,B'z　LOVE PHANTOM【FULL】(Official 4K video),,既存GoogleSiteに掲載済み(探索不要),https://www.youtube.com/watch?v=Oz8uh-OJvhU,1,B'z　LOVE PHANTOM【FULL】(Official 4K video)
39,漫才コンビのネタ分析,ETF12Qm6aTk,お笑いコロチキ、ナダルの魅力勝手に分析,コロコロチキチキペッパーズ-コント【妖精】,,既存GoogleSiteに掲載済み(探索不要),https://www.youtube.com/watch?v=7PvyH5E_xZk,1,コロコロチキチキペッパーズ-コント【妖精】
40,ピン芸人のネタ分析,alb17WBm7GY,お笑いおたこぷーさん、勝手に分析,パイーーーン！！！【芸人動画図鑑】【プー＆ムー】,,既存GoogleSiteに掲載済み(探索不要),https://www.youtube.com/watch?v=fdkY2HzbEuc,1,パイーーーン！！！【芸人動画図鑑】【プー＆ムー】
39,漫才コンビのネタ分析,yqWJIBdSrBQ,お笑いトム・ブラウンさん、勝手に分析,トム・ブラウン　乳牛を３頭合体させた漫才!?,,既存GoogleSiteに掲載済み(探索不要),https://www.youtube.com/watch?v=58qi_4W7F-0,1,トム・ブラウン　乳牛を３頭合体させた漫才!?
40,ピン芸人のネタ分析,HF2O1LnFW2o,お笑い吉住ヨシズミ勝手に分析,吉住  コント「許されざる恋」,,既存GoogleSiteに掲載済み(探索不要),https://www.youtube.com/watch?v=t6IHkeOKEZs,1,吉住  コント「許されざる恋」
39,漫才コンビのネタ分析,Yy8b_BNChAs,お笑いAマッソ勝手に分析,【コント】進路相談【Aマッソ公式ch】,,既存GoogleSiteに掲載済み(探索不要),https://www.youtube.com/watch?v=4OliEU00UA8,1,【コント】進路相談【Aマッソ公式ch】
39,漫才コンビのネタ分析,uIpXNEv1kvU,お笑いジャルジャル勝手に分析,2億回記念！本気ネタ！『人質チョイスミスった奴』【JARUJARUTOWER】,,既存GoogleSiteに掲載済み(探索不要),https://www.youtube.com/watch?v=2fuKvKLPIDk,1,2億回記念！本気ネタ！『人質チョイスミスった奴』【JARUJARUTOWER】
40,ピン芸人のネタ分析,FkaDOXNiD2c,お笑いゆりあんレトリィバァさん勝手に分析,ゆりやんレトリィバァ　ネタ「アメリカ人のものまね」,,既存GoogleSiteに掲載済み(探索不要),https://www.youtube.com/watch?v=0HPyqekji_8,1,ゆりやんレトリィバァ　ネタ「アメリカ人のものまね」
39,漫才コンビのネタ分析,0bjeYgt-AMM,お笑い『たまゆら学園』勝手に分析,付き合ってない彼女を実家に連れて行ってみた【ドッキリ】,,既存GoogleSiteに掲載済み(探索不要),https://www.youtube.com/watch?v=PZnoyqX_yV4,1,付き合ってない彼女を実家に連れて行ってみた【ドッキリ】
39,漫才コンビのネタ分析,ULYqaz420a0,お笑いニッポンの社長勝手に分析,ニッポンの社長【よしもと漫才劇場 8周年記念SPネタ】,,既存GoogleSiteに掲載済み(探索不要),https://www.youtube.com/watch?v=Fbwf-aIaV1E,1,ニッポンの社長【よしもと漫才劇場 8周年記念SPネタ】
